# Version 1.00
#
# (2.92) P1 SRC, P2 STD, B21 40, B31 0, B501 On, B32 0, B302 Off, 271 pts, 3th, 2 GHz, 10 ms, 25 ms, 0.5 ms, 0.1 ms, Ext Att P1 6 P2 6, LN
# 
freq[Hz],Trc1_S21[dB],
4.500000000000000E+08,-1.167296760361659E+02,
4.502500000000000E+08,-1.083133994347231E+02,
4.505000000000000E+08,-1.029335315224564E+02,
4.507500000000000E+08,-1.101083899001480E+02,
4.510000000000000E+08,-1.201256858665805E+02,
4.512500000000000E+08,-1.140920757905635E+02,
4.515000000000000E+08,-1.270594285462541E+02,
4.517500000000000E+08,-1.255157641289175E+02,
4.520000000000000E+08,-1.168725460856210E+02,
4.522500000000000E+08,-1.150313374815287E+02,
4.525000000000000E+08,-1.166833262892362E+02,
4.527500000000000E+08,-1.082140400209777E+02,
4.530000000000000E+08,-1.054183145995302E+02,
4.532500000000000E+08,-1.114591889147290E+02,
4.535000000000000E+08,-1.065891798853905E+02,
4.537500000000000E+08,-1.037427328491564E+02,
4.540000000000000E+08,-1.055089669671513E+02,
4.542500000000000E+08,-1.065540613690752E+02,
4.545000000000000E+08,-1.086874763413703E+02,
4.547500000000000E+08,-1.068118697061853E+02,
4.550000000000000E+08,-1.323359674509116E+02,
4.552500000000000E+08,-1.100458380450153E+02,
4.555000000000000E+08,-1.158606440072498E+02,
4.557500000000000E+08,-1.081784034973930E+02,
4.560000000000000E+08,-1.089882683163423E+02,
4.562500000000000E+08,-1.143922628084949E+02,
4.565000000000000E+08,-1.063854701329365E+02,
4.567500000000000E+08,-1.064254100996105E+02,
4.570000000000000E+08,-1.223318475645952E+02,
4.572500000000000E+08,-1.082415689020890E+02,
4.575000000000000E+08,-1.149247017700439E+02,
4.577500000000000E+08,-1.080365366016569E+02,
4.580000000000000E+08,-1.082601800184766E+02,
4.582500000000000E+08,-1.038121342197523E+02,
4.585000000000000E+08,-1.168801770108240E+02,
4.587500000000000E+08,-1.104086557301109E+02,
4.590000000000000E+08,-1.137721136319248E+02,
4.592500000000000E+08,-1.098572956847945E+02,
4.595000000000000E+08,-1.133497004091862E+02,
4.597500000000000E+08,-1.175503083852542E+02,
4.600000000000000E+08,-1.135693584289797E+02,
4.602500000000000E+08,-1.091372241211774E+02,
4.605000000000000E+08,-1.134673819287643E+02,
4.607500000000000E+08,-1.093439401035488E+02,
4.610000000000000E+08,-1.176064812301016E+02,
